Element,Data type,MinLength,MaxLength,Description,Example,Example in JSON,,,,Create file,Add description,Add specifications,Add example,Closing tag
Aba,Numeric,9,9,The American Bankers Association (ABA) number for the consumer’s financial banking institution.,<Aba>133563585</Aba>,"{
  ""Aba"": 133563585
}",,,,"New-Item -Path . -Name ""Aba.md"" -ItemType ""file"" -Value ""# Aba"";Add-Content -Path "".\Aba.md"" -Value ""`n""","Add-Content -Path "".\Aba.md"" @""
The American Bankers Association (ABA) number for the consumer’s financial banking institution.
""@","Add-Content -Path "".\Aba.md"" -Value ""`n"";Add-Content -Path "".\Aba.md"" -Value ""## Specifications"";Add-Content -Path "".\Aba.md"" -Value ""`n"";Add-Content -Path "".\Aba.md"" -Value ""* Data type: Numeric"";Add-Content -Path "".\Aba.md"" -Value ""* Minimal length: 9"";Add-Content -Path "".\Aba.md"" -Value ""* Maximal length: 9"";Add-Content -Path "".\Aba.md"" -Value ""`n"";Add-Content -Path "".\Aba.md"" -Value ""## Example"";Add-Content -Path "".\Aba.md"" -Value ""`n"";Add-Content -Path "".\Aba.md"" -Value ""`````` json""","Add-Content -Path "".\Aba.md"" @""
{
  ""Aba"": 133563585
}
""@","Add-Content -Path "".\Aba.md"" -Value ""``````"""
Account,Array of elements,N/A,N/A,Contains all the sub-elements associated with a consumer's account.,,"""Account"": {
      ""Description"": ""string"",
      ""Pan"": ""string"",
      ""Expiration"": ""string"",
      ""TrackData"": ""string"",
      ""Track1Data"": ""string"",
      ""Track2Data"": ""string"",
      ""PinBlock"": ""string"",
      ""PinPadSerialNum"": ""string"",
      ""KeySerialId"": ""string"",
      ""EmvType"": 0,
      ""Cvv"": 0,
      ""FirstName"": ""string"",
      ""LastName"": ""string"",
      ""Address"": ""string"",
      ""Address2"": ""string"",
      ""City"": ""string"",
      ""Postal"": ""string"",
      ""Country"": ""string"",
      ""Region"": ""string"",
      ""Phone"": ""string"",
      ""CellPhone"": ""string"",
      ""CellCarrier"": ""Alltel"",
      ""Email"": ""string"",
      ""Guid"": ""string"",
      ""Encrypted"": {}
}",,,,"New-Item -Path . -Name ""Account.md"" -ItemType ""file"" -Value ""# Account"";Add-Content -Path "".\Account.md"" -Value ""`n""","Add-Content -Path "".\Account.md"" @""
Contains all the sub-elements associated with a consumer's account.
""@","Add-Content -Path "".\Account.md"" -Value ""`n"";Add-Content -Path "".\Account.md"" -Value ""## Specifications"";Add-Content -Path "".\Account.md"" -Value ""`n"";Add-Content -Path "".\Account.md"" -Value ""* Data type: Array of elements"";Add-Content -Path "".\Account.md"" -Value ""`n"";Add-Content -Path "".\Account.md"" -Value ""## Example"";Add-Content -Path "".\Account.md"" -Value ""`n"";Add-Content -Path "".\Account.md"" -Value ""`````` json""","Add-Content -Path "".\Account.md"" @""
""Account"": {
      ""Description"": ""string"",
      ""Pan"": ""string"",
      ""Expiration"": ""string"",
      ""TrackData"": ""string"",
      ""Track1Data"": ""string"",
      ""Track2Data"": ""string"",
      ""PinBlock"": ""string"",
      ""PinPadSerialNum"": ""string"",
      ""KeySerialId"": ""string"",
      ""EmvType"": 0,
      ""Cvv"": 0,
      ""FirstName"": ""string"",
      ""LastName"": ""string"",
      ""Address"": ""string"",
      ""Address2"": ""string"",
      ""City"": ""string"",
      ""Postal"": ""string"",
      ""Country"": ""string"",
      ""Region"": ""string"",
      ""Phone"": ""string"",
      ""CellPhone"": ""string"",
      ""CellCarrier"": ""Alltel"",
      ""Email"": ""string"",
      ""Guid"": ""string"",
      ""Encrypted"": {}
}
""@","Add-Content -Path "".\Account.md"" -Value ""``````"""
Active,Boolean,1,1,"The status of a group of elements. 

The value of false (0) indicates that the group of elements is inactive.
The value of true (1) indicates that the group of elements is active. ",<Active>1</Active>,"{
  ""Active"": 1
}",,,,"New-Item -Path . -Name ""Active.md"" -ItemType ""file"" -Value ""# Active"";Add-Content -Path "".\Active.md"" -Value ""`n""","Add-Content -Path "".\Active.md"" @""
The status of a group of elements. 

The value of false (0) indicates that the group of elements is inactive.
The value of true (1) indicates that the group of elements is active. 
""@","Add-Content -Path "".\Active.md"" -Value ""`n"";Add-Content -Path "".\Active.md"" -Value ""## Specifications"";Add-Content -Path "".\Active.md"" -Value ""`n"";Add-Content -Path "".\Active.md"" -Value ""* Data type: Boolean"";Add-Content -Path "".\Active.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\Active.md"" -Value ""* Maximal length: 1"";Add-Content -Path "".\Active.md"" -Value ""`n"";Add-Content -Path "".\Active.md"" -Value ""## Example"";Add-Content -Path "".\Active.md"" -Value ""`n"";Add-Content -Path "".\Active.md"" -Value ""`````` json""","Add-Content -Path "".\Active.md"" @""
{
  ""Active"": 1
}
""@","Add-Content -Path "".\Active.md"" -Value ""``````"""
Address,Alphanumeric,1,30,"The street address of a user, consumer, shipping record, or account.",<Address>123 Any Street</Address>,"{
  ""Address"": ""123 Any Street""
}",,,,"New-Item -Path . -Name ""Address.md"" -ItemType ""file"" -Value ""# Address"";Add-Content -Path "".\Address.md"" -Value ""`n""","Add-Content -Path "".\Address.md"" @""
The street address of a user, consumer, shipping record, or account.
""@","Add-Content -Path "".\Address.md"" -Value ""`n"";Add-Content -Path "".\Address.md"" -Value ""## Specifications"";Add-Content -Path "".\Address.md"" -Value ""`n"";Add-Content -Path "".\Address.md"" -Value ""* Data type: Alphanumeric"";Add-Content -Path "".\Address.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\Address.md"" -Value ""* Maximal length: 30"";Add-Content -Path "".\Address.md"" -Value ""`n"";Add-Content -Path "".\Address.md"" -Value ""## Example"";Add-Content -Path "".\Address.md"" -Value ""`n"";Add-Content -Path "".\Address.md"" -Value ""`````` json""","Add-Content -Path "".\Address.md"" @""
{
  ""Address"": ""123 Any Street""
}
""@","Add-Content -Path "".\Address.md"" -Value ""``````"""
Address2,String,1,30,"The second line of the street address of a user, consumer, shipping record, or account.","<Address2>Building B, apartment 45</Address2>","{
  ""Address2"": ""Building B, apartment 45""
}",,,,"New-Item -Path . -Name ""Address2.md"" -ItemType ""file"" -Value ""# Address2"";Add-Content -Path "".\Address2.md"" -Value ""`n""","Add-Content -Path "".\Address2.md"" @""
The second line of the street address of a user, consumer, shipping record, or account.
""@","Add-Content -Path "".\Address2.md"" -Value ""`n"";Add-Content -Path "".\Address2.md"" -Value ""## Specifications"";Add-Content -Path "".\Address2.md"" -Value ""`n"";Add-Content -Path "".\Address2.md"" -Value ""* Data type: String"";Add-Content -Path "".\Address2.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\Address2.md"" -Value ""* Maximal length: 30"";Add-Content -Path "".\Address2.md"" -Value ""`n"";Add-Content -Path "".\Address2.md"" -Value ""## Example"";Add-Content -Path "".\Address2.md"" -Value ""`n"";Add-Content -Path "".\Address2.md"" -Value ""`````` json""","Add-Content -Path "".\Address2.md"" @""
{
  ""Address2"": ""Building B, apartment 45""
}
""@","Add-Content -Path "".\Address2.md"" -Value ""``````"""
AdvanceDeposit,Boolean,1,1,An indicator of an advance payment received by the merchant from a customer before delivering the products or services.,<AdvanceDeposit>1</AdvanceDeposit>,"{
  ""AdvanceDeposit"": ""1""
}",,,,"New-Item -Path . -Name ""AdvanceDeposit.md"" -ItemType ""file"" -Value ""# AdvanceDeposit"";Add-Content -Path "".\AdvanceDeposit.md"" -Value ""`n""","Add-Content -Path "".\AdvanceDeposit.md"" @""
An indicator of an advance payment received by the merchant from a customer before delivering the products or services.
""@","Add-Content -Path "".\AdvanceDeposit.md"" -Value ""`n"";Add-Content -Path "".\AdvanceDeposit.md"" -Value ""## Specifications"";Add-Content -Path "".\AdvanceDeposit.md"" -Value ""`n"";Add-Content -Path "".\AdvanceDeposit.md"" -Value ""* Data type: Boolean"";Add-Content -Path "".\AdvanceDeposit.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\AdvanceDeposit.md"" -Value ""* Maximal length: 1"";Add-Content -Path "".\AdvanceDeposit.md"" -Value ""`n"";Add-Content -Path "".\AdvanceDeposit.md"" -Value ""## Example"";Add-Content -Path "".\AdvanceDeposit.md"" -Value ""`n"";Add-Content -Path "".\AdvanceDeposit.md"" -Value ""`````` json""","Add-Content -Path "".\AdvanceDeposit.md"" @""
{
  ""AdvanceDeposit"": ""1""
}
""@","Add-Content -Path "".\AdvanceDeposit.md"" -Value ""``````"""
Algorithm,Alpha,1,9,"The encryption algorithm for the requested source.

Possible values are None, Rijndael, and TripleDes.

The value of None indicates that the system doesn't apply message-level encryption.
The value of Rijndael indicates that the system applies the advanced encryption standard.
The value of TripleDes indicates that the system applies the Triple Data Encryption Algorithm.",<Algorithm>Rijndael</Algorithm>,"{
  ""Algorithm"": ""Rijndael""
}",,,,"New-Item -Path . -Name ""Algorithm.md"" -ItemType ""file"" -Value ""# Algorithm"";Add-Content -Path "".\Algorithm.md"" -Value ""`n""","Add-Content -Path "".\Algorithm.md"" @""
The encryption algorithm for the requested source.

Possible values are None, Rijndael, and TripleDes.

The value of None indicates that the system doesn't apply message-level encryption.
The value of Rijndael indicates that the system applies the advanced encryption standard.
The value of TripleDes indicates that the system applies the Triple Data Encryption Algorithm.
""@","Add-Content -Path "".\Algorithm.md"" -Value ""`n"";Add-Content -Path "".\Algorithm.md"" -Value ""## Specifications"";Add-Content -Path "".\Algorithm.md"" -Value ""`n"";Add-Content -Path "".\Algorithm.md"" -Value ""* Data type: Alpha"";Add-Content -Path "".\Algorithm.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\Algorithm.md"" -Value ""* Maximal length: 9"";Add-Content -Path "".\Algorithm.md"" -Value ""`n"";Add-Content -Path "".\Algorithm.md"" -Value ""## Example"";Add-Content -Path "".\Algorithm.md"" -Value ""`n"";Add-Content -Path "".\Algorithm.md"" -Value ""`````` json""","Add-Content -Path "".\Algorithm.md"" @""
{
  ""Algorithm"": ""Rijndael""
}
""@","Add-Content -Path "".\Algorithm.md"" -Value ""``````"""
AlgorithmIv,Hex,16,16,The initialization vector for the requested source. The system uses this initialization vector as an input for data encryption.,<AlgorithmIv>1234124312341234</AlgorithmIv>,"{
  ""AlgorithmIv"": 1234124312341234
}",,,,"New-Item -Path . -Name ""AlgorithmIv.md"" -ItemType ""file"" -Value ""# AlgorithmIv"";Add-Content -Path "".\AlgorithmIv.md"" -Value ""`n""","Add-Content -Path "".\AlgorithmIv.md"" @""
The initialization vector for the requested source. The system uses this initialization vector as an input for data encryption.
""@","Add-Content -Path "".\AlgorithmIv.md"" -Value ""`n"";Add-Content -Path "".\AlgorithmIv.md"" -Value ""## Specifications"";Add-Content -Path "".\AlgorithmIv.md"" -Value ""`n"";Add-Content -Path "".\AlgorithmIv.md"" -Value ""* Data type: Hex"";Add-Content -Path "".\AlgorithmIv.md"" -Value ""* Minimal length: 16"";Add-Content -Path "".\AlgorithmIv.md"" -Value ""* Maximal length: 16"";Add-Content -Path "".\AlgorithmIv.md"" -Value ""`n"";Add-Content -Path "".\AlgorithmIv.md"" -Value ""## Example"";Add-Content -Path "".\AlgorithmIv.md"" -Value ""`n"";Add-Content -Path "".\AlgorithmIv.md"" -Value ""`````` json""","Add-Content -Path "".\AlgorithmIv.md"" @""
{
  ""AlgorithmIv"": 1234124312341234
}
""@","Add-Content -Path "".\AlgorithmIv.md"" -Value ""``````"""
AlgorithmKey,Hex,48,48,The encryption key for the requested source.,<AlgorithmKey>123412431234123412341243123412341234124312341234</AlgorithmKey>,"{
  ""AlgorithmKey"": 123412431234123412341243123412341234124312341234
}",,,,"New-Item -Path . -Name ""AlgorithmKey.md"" -ItemType ""file"" -Value ""# AlgorithmKey"";Add-Content -Path "".\AlgorithmKey.md"" -Value ""`n""","Add-Content -Path "".\AlgorithmKey.md"" @""
The encryption key for the requested source.
""@","Add-Content -Path "".\AlgorithmKey.md"" -Value ""`n"";Add-Content -Path "".\AlgorithmKey.md"" -Value ""## Specifications"";Add-Content -Path "".\AlgorithmKey.md"" -Value ""`n"";Add-Content -Path "".\AlgorithmKey.md"" -Value ""* Data type: Hex"";Add-Content -Path "".\AlgorithmKey.md"" -Value ""* Minimal length: 48"";Add-Content -Path "".\AlgorithmKey.md"" -Value ""* Maximal length: 48"";Add-Content -Path "".\AlgorithmKey.md"" -Value ""`n"";Add-Content -Path "".\AlgorithmKey.md"" -Value ""## Example"";Add-Content -Path "".\AlgorithmKey.md"" -Value ""`n"";Add-Content -Path "".\AlgorithmKey.md"" -Value ""`````` json""","Add-Content -Path "".\AlgorithmKey.md"" @""
{
  ""AlgorithmKey"": 123412431234123412341243123412341234124312341234
}
""@","Add-Content -Path "".\AlgorithmKey.md"" -Value ""``````"""
AlgorithmMode,Alpha,3,3,"The encryption mode for the requested source.

Possible values are CBC and ECB.

The value of CBC indicates that the system applies the Cipher Block Chaining (CBC) encryption mode.
The value of ECB indicates that the system applies the electronic codebook (ECB) encryption mode.",<AlgorithmMode>CBC</AlgorithmMode>,"{
  ""AlgorithmMode"": ""CBC""
}",,,,"New-Item -Path . -Name ""AlgorithmMode.md"" -ItemType ""file"" -Value ""# AlgorithmMode"";Add-Content -Path "".\AlgorithmMode.md"" -Value ""`n""","Add-Content -Path "".\AlgorithmMode.md"" @""
The encryption mode for the requested source.

Possible values are CBC and ECB.

The value of CBC indicates that the system applies the Cipher Block Chaining (CBC) encryption mode.
The value of ECB indicates that the system applies the electronic codebook (ECB) encryption mode.
""@","Add-Content -Path "".\AlgorithmMode.md"" -Value ""`n"";Add-Content -Path "".\AlgorithmMode.md"" -Value ""## Specifications"";Add-Content -Path "".\AlgorithmMode.md"" -Value ""`n"";Add-Content -Path "".\AlgorithmMode.md"" -Value ""* Data type: Alpha"";Add-Content -Path "".\AlgorithmMode.md"" -Value ""* Minimal length: 3"";Add-Content -Path "".\AlgorithmMode.md"" -Value ""* Maximal length: 3"";Add-Content -Path "".\AlgorithmMode.md"" -Value ""`n"";Add-Content -Path "".\AlgorithmMode.md"" -Value ""## Example"";Add-Content -Path "".\AlgorithmMode.md"" -Value ""`n"";Add-Content -Path "".\AlgorithmMode.md"" -Value ""`````` json""","Add-Content -Path "".\AlgorithmMode.md"" @""
{
  ""AlgorithmMode"": ""CBC""
}
""@","Add-Content -Path "".\AlgorithmMode.md"" -Value ""``````"""
